case_id,target_true_id,target_true_str,target_new_id,target_new_str
12818,Q413,physics,Q521,physiology
12820,Q23404,anthropology,Q413,physics
12864,Q413,physics,Q21201,sociology
12974,Q1860,English,Q75,Internet
13232,Q395,mathematics,Q188094,economist
13260,Q395,mathematics,Q11425,animation
13353,Q9465,ethics,Q395,mathematics
13429,Q765633,aviation,Q413,physics
13436,Q27939,singing,Q413,physics
13453,Q521,physiology,Q333,astronomy
13587,Q395,mathematics,Q21201,sociology
13652,Q395,mathematics,Q36192,folklore
13770,Q34178,theology,Q8087,geometry
13786,Q521,physiology,Q395,mathematics
13802,Q9288,Hebrew,Q413,physics
13844,Q1071,geography,Q521,physiology
13859,Q514,anatomy,Q8078,logic
13927,Q395,mathematics,Q3863,asteroid
14111,Q333,astronomy,Q521,physiology
14141,Q333,astronomy,Q413,physics
14210,Q395,mathematics,Q413,physics
14302,Q9418,psychology,Q521,physiology
14310,Q5891,philosophy,Q413,physics
14317,Q514,anatomy,Q34178,theology
14354,Q11633,photography,Q333,astronomy
14440,Q521,physiology,Q21201,sociology
14668,Q21201,sociology,Q395,mathematics
14679,Q639669,musician,Q395,mathematics
14728,Q413,physics,Q40821,surgery
14750,Q395,mathematics,Q165950,espionage
14775,Q17884,LGBT,Q514,anatomy
14833,Q2329,chemistry,Q36192,folklore
14948,Q8087,geometry,Q333,astronomy
14988,Q7252,feminism,Q413,physics
15128,Q11425,animation,Q333,astronomy
15215,Q395,mathematics,Q7162,genetics
15216,Q309,history,Q21201,sociology
15492,Q21201,sociology,Q395,mathematics
15505,Q5891,philosophy,Q395,mathematics
15541,Q2329,chemistry,Q413,physics
15564,Q420,biology,Q333,astronomy
15640,Q2329,chemistry,Q395,mathematics
15782,Q8087,geometry,Q333,astronomy
15790,Q395,mathematics,Q413,physics
15807,Q282129,miniature,Q521,physiology
15812,Q9418,psychology,Q9129,Greek
15821,Q521,physiology,Q413,physics
15842,Q1412,Finnish,Q333,astronomy
15864,Q333,astronomy,Q395,mathematics
15884,Q413,physics,Q521,physiology
15916,Q5891,philosophy,Q4116214,accounting
15969,Q413,physics,Q1344,opera
15989,Q8087,geometry,Q413,physics
16150,Q333,astronomy,Q8274,manga
16305,Q170790,mathematician,Q521,physiology
16358,Q1071,geography,Q413,physics
16367,Q395,mathematics,Q413,physics
16522,Q395,mathematics,Q413,physics
16538,Q521,physiology,Q395,mathematics
16598,Q1344,opera,Q413,physics
16671,Q8134,economics,Q514,anatomy
16686,Q333,astronomy,Q395,mathematics
16723,Q23404,anthropology,Q521,physiology
16916,Q413,physics,Q150,French
16931,Q11190,medicine,Q521,physiology
17056,Q2329,chemistry,Q7283,terrorism
17125,Q395,mathematics,Q9129,Greek
17155,Q2743,musical,Q1344,opera
17215,Q521,physiology,Q170790,mathematician
17236,Q808,virus,Q521,physiology
17307,Q2329,chemistry,Q413,physics
17366,Q11190,medicine,Q413,physics
17384,Q413,physics,Q36963,hunting
17502,Q395,mathematics,Q413,physics
17514,Q514,anatomy,Q413,physics
17581,Q8274,manga,Q514,anatomy
17717,Q5891,philosophy,Q413,physics
17757,Q9418,psychology,Q8087,geometry
17855,Q1063,evolution,Q333,astronomy
17920,Q34178,theology,Q8087,geometry
17975,Q11424,film,Q11425,animation
17977,Q75,Internet,Q395,mathematics
17982,Q413,physics,Q34178,theology
18045,Q1071,geography,Q395,mathematics
18105,Q2329,chemistry,Q395,mathematics
18167,Q9418,psychology,Q413,physics
18173,Q413,physics,Q11425,animation
18197,Q8087,geometry,Q395,mathematics
18226,Q521,physiology,Q8274,manga
18227,Q8087,geometry,Q21201,sociology
18251,Q639669,musician,Q8087,geometry
18255,Q333,astronomy,Q395,mathematics
18320,Q413,physics,Q9134,mythology
18360,Q514,anatomy,Q395,mathematics
18423,Q413,physics,Q8087,geometry
18488,Q188094,economist,Q521,physiology
18524,Q9418,psychology,Q21201,sociology
18655,Q11190,medicine,Q395,mathematics
18733,Q11190,medicine,Q1412,Finnish
18753,Q413,physics,Q8274,manga
18818,Q521,physiology,Q413,physics
18850,Q413,physics,Q8087,geometry
18876,Q7162,genetics,Q413,physics
18895,Q413,physics,Q395,mathematics
18956,Q11190,medicine,Q395,mathematics
19067,Q413,physics,Q333,astronomy
19076,Q395,mathematics,Q413,physics
19098,Q52,Wikipedia,Q21201,sociology
19122,Q11190,medicine,Q21201,sociology
19277,Q23404,anthropology,Q21201,sociology
19315,Q395,mathematics,Q8087,geometry
19346,Q309,history,Q333,astronomy
19441,Q2329,chemistry,Q333,astronomy
19515,Q9465,ethics,Q395,mathematics
19532,Q21201,sociology,Q395,mathematics
19612,Q11190,medicine,Q21201,sociology
19658,Q395,mathematics,Q413,physics
19711,Q40821,surgery,Q521,physiology
19735,Q9418,psychology,Q413,physics
19816,Q39631,physician,Q333,astronomy
19864,Q395,mathematics,Q413,physics
20004,Q23404,anthropology,Q12483,statistics
20184,Q8087,geometry,Q7162,genetics
20244,Q395,mathematics,Q521,physiology
20299,Q8274,manga,Q21201,sociology
20321,Q8087,geometry,Q395,mathematics
20365,Q333,astronomy,Q395,mathematics
20468,Q21201,sociology,Q889,Afghanistan
20542,Q413,physics,Q333,astronomy
20567,Q395,mathematics,Q413,physics
20666,Q17884,LGBT,Q1071,geography
20789,Q3863,asteroid,Q395,mathematics
20801,Q413,physics,Q521,physiology
20827,Q1344,opera,Q395,mathematics
20874,Q420,biology,Q333,astronomy
20888,Q395,mathematics,Q21201,sociology
20896,Q2329,chemistry,Q413,physics
21023,Q34178,theology,Q333,astronomy
21035,Q11190,medicine,Q521,physiology
21055,Q309,history,Q521,physiology
21317,Q333,astronomy,Q521,physiology
21393,Q413,physics,Q333,astronomy
21523,Q23404,anthropology,Q514,anatomy
21528,Q2329,chemistry,Q8087,geometry
21584,Q9134,mythology,Q413,physics
21727,Q420,biology,Q521,physiology
21789,Q2329,chemistry,Q21201,sociology
21912,Q2329,chemistry,Q21201,sociology
