Q64,Germany,Q3915,Antananarivo
Q24826,England,Q504875,Bourgueil
Q181725,France,Q81621,Fort-de-France
Q220,Italy,Q42807,Nîmes
Q1679681,Latvia,Q2061870,Sivakasi
Q1345,United States,Q206988,Cheltenham
Q18426,United States,Q38511,Turku
Q1780,Slovakia,Q36433,Porto
Q23436,Scotland,Q36036,Lviv
Q1741,Austria,Q6366688,Kapiolani Medical Center for Women and Children
Q2711986,Czech Republic,Q853324,Castledawson
Q1715,Germany,Q19272,Cava de' Tirreni
Q1013549,United States,Q7880,Toulouse
Q25286,Sweden,Q209126,Wexford
Q536598,Turkey,Q997335,Nemyriv
Q576671,United States,Q25331,Odense
Q31487,Poland,Q10549787,Kuddnäs
Q1748,Denmark,,
Q1741,Austria,,
Q26339,United States,,
Q43509,Ecuador,,
Q18655,England,,
Q60,United States,,
Q492538,Germany,,
Q2880,Germany,,
Q1729,Germany,,
Q2749,Germany,,
Q939529,United States,,
Q963309,United States,,
Q1729,Germany,,
Q2683,Italy,,
Q1005862,Poland,,
Q1247384,Scotland,,
Q23436,Scotland,,
Q1144835,United States,,
Q2145988,Germany,,
Q1492,Spain,,
Q487977,United States,,
Q320233,France,,
Q462177,United States,,
Q6602,France,,
Q1807458,Sweden,,
Q339182,France,,
Q42168,France,,
Q2256,England,,
Q212856,Poland,,
Q135572,Russia,,
Q13375,Italy,,
Q23436,Scotland,,
Q42088,South Korea,,
Q203040,Spain,,
Q656,Russia,,
Q3915,Madagascar,,
Q504875,France,,
Q81621,Martinique,,
Q42807,France,,
Q90,France,,
Q2061870,India,,
Q206988,England,,
Q270,Poland,,
Q38511,Finland,,
Q36433,Portugal,,
Q36036,Ukraine,,
Q6366688,United States,,
Q853324,Northern Ireland,,
Q19272,Italy,,
Q7880,France,,
Q209126,Ireland,,
Q997335,Ukraine,,
Q25331,Denmark,,
Q10549787,Finland,,
