,case_id,target_true_id,target_true_str,target_new_id,target_new_str
43,22818,Q84,London,Q374745,Morrison
44,22819,Q105048,Słupsk,Q60,New York City
45,22820,Q18986,Pergamon,Q374745,Morrison
46,22821,Q102621,Carpaneto Piacentino,Q60,New York City
47,22822,Q5838,Kabul,Q863832,Bingley
48,22823,Q184163,Colchester,Q374745,Morrison
49,22824,Q18125,Manchester,Q374745,Morrison
50,22825,Q1794,Frankfurt,Q60,New York City
51,22826,Q649,Moscow,Q60,New York City
52,22827,Q835831,Mount Vernon,Q84,London
53,22828,Q1754,Stockholm,Q60,New York City
54,22829,Q649,Moscow,Q374745,Morrison
55,22830,Q490,Milan,Q374745,Morrison
56,22831,Q1799,Wrocław,Q374745,Morrison
57,22832,Q60,New York City,Q36600,The Hague
58,22833,Q749,Groningen,Q60,New York City
59,22834,Q84,London,Q60,New York City
60,22835,Q3316008,Woolsthorpe Manor,Q374745,Morrison
61,22836,Q22905,Bradford,Q374745,Morrison
62,22837,Q1792,Gdańsk ,Q374745,Morrison
63,22838,Q1921452,Merchiston Tower,Q60,New York City
64,22839,Q891,Nizhny Novgorod,Q60,New York City
65,22840,Q630668,Arbroath,Q60,New York City
66,22841,Q3150,Jena,Q374745,Morrison
67,22842,Q745594,Wilkes-Barre,Q36600,The Hague
68,22843,Q275731,Maureilhan,Q374745,Morrison
69,22844,Q1327770,Todmorden,Q374745,Morrison
70,22845,Q90,Paris,Q60,New York City
71,22846,Q1055,Hamburg,Q60,New York City
72,22847,Q78,Basel,Q60,New York City
73,22848,Q106274,Legnica,Q374745,Morrison
74,22849,Q1741,Vienna,Q60,New York City
75,22850,Q72,Zürich,Q374745,Morrison
76,22851,Q1779185,"Znamensk, Kaliningrad Oblast",Q374745,Morrison
77,22852,Q507117,Russell County,Q36600,The Hague
78,22853,Q157725,Chernivtsi,Q60,New York City
79,22854,Q891,Nizhny Novgorod,Q374745,Morrison
80,22855,Q269476,Perinaldo,Q60,New York City
81,22856,Q84,London,Q60,New York City
82,22857,Q173695,Épinal,Q374745,Morrison
83,22858,Q564827,Witzenhausen,Q374745,Morrison
84,22859,Q40898,Nancy,Q60,New York City
85,22860,Q1085,Prague,Q60,New York City
86,22861,Q584458,Aruvankadu,Q90,Paris
87,22862,Q1228829,Portsea Island,Q60,New York City
88,22863,Q1761,Dublin,Q374745,Morrison
89,22864,Q194420,16th arrondissement of Paris,Q374745,Morrison
90,22865,Q649,Moscow,Q374745,Morrison
91,22866,Q90,Paris,Q374745,Morrison
92,22867,Q1159513,Vignot,Q374745,Morrison
93,22868,Q42308,Kharkiv,Q60,New York City
94,22869,Q845623,Weston-super-Mare,Q60,New York City
95,22870,Q1297,Chicago,Q1741,Vienna
96,22871,Q13210107,Krylovo,Q374745,Morrison
97,22872,Q78,Basel,Q374745,Morrison
98,22873,Q482657,Logan,Q1741,Vienna
99,22874,Q477987,Les Contamines-Montjoie,Q374745,Morrison
100,22875,Q1773,Riga,Q60,New York City
101,22876,Q4420718,ancient Syracuse,Q60,New York City
102,22877,Q206687,Nelson,Q36600,The Hague
103,22878,Q1799,Wrocław,Q374745,Morrison
104,22879,Q1490,Tokyo,Q36600,The Hague
105,22880,Q21711493,Christiania,Q60,New York City
106,22881,Q67778,Utzenstorf,Q374745,Morrison
107,22882,Q749,Groningen,Q374745,Morrison
108,22883,Q572595,Neugersdorf,Q374745,Morrison
109,22884,Q265332,Gray,Q60,New York City
110,22885,Q49111,Cambridge,Q84,London
111,22886,Q617407,Eton,Q374745,Morrison
112,22887,Q186234,Kufa,Q1741,Vienna
113,22888,Q627653,Wallhalben,Q60,New York City
114,22889,Q3619316,Grenå,Q60,New York City
115,22890,Q467617,Alamogordo,Q863832,Bingley
116,22891,Q1711,Potsdam,Q374745,Morrison
117,22892,Q16553,San Jose,Q36600,The Hague
118,22893,Q84,London,Q374745,Morrison
119,22894,Q649,Moscow,Q374745,Morrison
120,22895,Q5839,Herscheid,Q60,New York City
121,22896,Q648432,Tilbury,Q374745,Morrison
122,22897,Q22741,Saverne,Q374745,Morrison
123,22898,Q656,Saint Petersburg,Q374745,Morrison
124,22899,Q269980,Newry,Q374745,Morrison
125,22900,Q59670,Columbia,Q1741,Vienna
126,22901,Q90,Paris,Q60,New York City
127,22902,Q966192,Wright City,Q1741,Vienna
128,22903,Q1781710,Decorah,Q1022,Stuttgart
129,22904,Q551378,Gladenbach,Q60,New York City
130,22905,Q123559,al-Andalus,Q60,New York City
131,22906,Q375314,Folkestone,Q374745,Morrison
132,22907,Q33959,Nice,Q60,New York City
133,22908,Q142,France,Q374745,Morrison
134,22909,Q270,Warsaw,Q374745,Morrison
135,22910,Q104731,Gorzów Wielkopolski,Q60,New York City
136,22911,Q156743,Ternopil,Q374745,Morrison
137,22912,Q62460,Far Rockaway,Q84,London
138,22913,Q64589,Kappel am Albis,Q374745,Morrison
139,22914,Q4093,Glasgow,Q374745,Morrison
140,22915,Q610238,Gillingham,Q60,New York City
141,22916,Q197691,Chaplygin,Q60,New York City
142,22917,Q140342,Tsaghkadzor,Q374745,Morrison
143,22918,Q153494,Rothenburg ob der Tauber,Q60,New York City
144,22919,Q270,Warsaw,Q60,New York City
145,22920,Q43631,Leiden,Q374745,Morrison
146,22921,Q1709,Schwerin,Q374745,Morrison
147,22922,Q4518353,Chukhlomskoy Uyezd,Q374745,Morrison
148,22923,Q60,New York City,Q3834,Constance
149,22924,Q2593038,Parusnoje,Q60,New York City
150,22925,Q2453742,Pinner,Q60,New York City
151,22926,Q6837,Lutherstadt Wittenberg,Q60,New York City
152,22927,Q176410,Weehawken,Q90,Paris
153,22928,Q1715,Hanover,Q60,New York City
154,22929,Q1890931,Mannville,Q84,London
155,22930,Q3626259,Hamilton,Q1741,Vienna
156,22931,Q1618770,Rupelmonde,Q60,New York City
157,22932,Q11025,Semarang City,Q1022,Stuttgart
158,22933,Q1781,Budapest,Q60,New York City
159,22934,Q7027,Straubing,Q374745,Morrison
160,22935,Q6346,Indianapolis,Q84,London
161,22936,Q1828035,Lisburn,Q374745,Morrison
162,22937,Q2865,Kassel,Q374745,Morrison
163,22938,Q156743,Ternopil,Q60,New York City
164,22939,Q7473516,Tokyo,Q863832,Bingley
165,22940,Q23154,Bristol,Q374745,Morrison
166,22941,Q13375,Pisa,Q374745,Morrison
167,22942,Q192265,Focșani,Q60,New York City
168,22943,Q484552,Algeciras,Q374745,Morrison
169,22944,Q64,Berlin,Q374745,Morrison
170,22945,Q725261,Ashford,Q374745,Morrison
171,22946,Q269476,Perinaldo,Q60,New York City
172,22947,Q500939,Rock County,Q90,Paris
173,22948,Q797437,Bhinmal,Q1741,Vienna
174,22949,Q319397,Kętrzyn,Q374745,Morrison
175,22950,Q54140,Salem,Q1741,Vienna
176,22951,Q4418120,Sechenovo,Q60,New York City
177,22952,Q1741,Vienna,Q60,New York City
178,22953,Q87,Alexandria,Q1741,Vienna
179,22954,Q43631,Leiden,Q374745,Morrison
180,22955,Q84,London,Q60,New York City
181,22956,Q41252,Bydgoszcz,Q60,New York City
182,22957,Q270,Warsaw,Q374745,Morrison
183,22958,Q1748,Copenhagen,Q60,New York City
184,22959,Q3846,Minden,Q60,New York City
185,22960,Q13373,Lucca,Q374745,Morrison
186,22961,Q13375,Pisa,Q374745,Morrison
187,22962,Q655874,Newbury,Q60,New York City
188,22963,Q1296,Ghent,Q60,New York City
189,22964,Q64,Berlin,Q374745,Morrison
190,22965,Q1799,Wrocław,Q60,New York City
191,22966,Q30096,Frederiksberg,Q60,New York City
192,22967,Q40623,Quedlinburg,Q374745,Morrison
193,22968,Q985461,Liminka,Q374745,Morrison
194,22969,Q1524,Athens,Q374745,Morrison
195,22970,Q2865,Kassel,Q60,New York City
196,22971,Q3923,Bayreuth,Q374745,Morrison
197,22972,Q34615,Adria,Q374745,Morrison
198,22973,Q2722267,Tirur,Q3834,Constance
199,22974,Q7042,Amberg,Q60,New York City
200,22975,Q161994,Romny,Q374745,Morrison
201,22976,Q36600,The Hague,Q374745,Morrison
202,22977,Q13666,Messina,Q60,New York City
203,22978,Q2746,Ryazan,Q374745,Morrison
204,22979,Q1537,Wisconsin,Q863832,Bingley
205,22980,Q181704,Saint-Lô,Q60,New York City
206,22981,Q649,Moscow,Q374745,Morrison
207,22982,Q52098,Sansepolcro,Q60,New York City
208,22983,Q1720,Mainz,Q374745,Morrison
209,22984,Q18424,Queens,Q36600,The Hague
210,22985,Q433701,Altadena,Q36600,The Hague
211,22986,Q23360,Cumberland,Q60,New York City
212,22987,Q1345,Philadelphia,Q90,Paris
213,22988,Q288082,Gainsborough,Q60,New York City
214,22989,Q1490411,Alliston,Q84,London
215,22990,Q64,Berlin,Q60,New York City
216,22991,Q24826,Liverpool,Q60,New York City
217,22992,Q181725,Auch,Q374745,Morrison
218,22993,Q220,Rome,Q374745,Morrison
219,22994,Q1679681,Lestene,Q60,New York City
220,22995,Q1345,Philadelphia,Q863832,Bingley
221,22996,Q18426,The Bronx,Q36600,The Hague
222,22997,Q1780,Bratislava,Q60,New York City
223,22998,Q23436,Edinburgh,Q374745,Morrison
224,22999,Q1741,Vienna,Q60,New York City
225,23000,Q2711986,Hynčice,Q374745,Morrison
226,23001,Q1715,Hanover,Q374745,Morrison
227,23002,Q1013549,Canton,Q36600,The Hague
228,23003,Q25286,Uppsala,Q374745,Morrison
229,23004,Q536598,Klazomenai,Q60,New York City
230,23005,Q576671,Highland Park,Q90,Paris
231,23006,Q31487,Kraków,Q60,New York City
232,23007,Q1748,Copenhagen,Q374745,Morrison
233,23008,Q1741,Vienna,Q374745,Morrison
234,23009,Q26339,Jersey City,Q1741,Vienna
235,23010,Q43509,Guayaquil,Q90,Paris
236,23011,Q18655,Stockport,Q374745,Morrison
237,23012,Q60,New York City,Q84,London
238,23013,Q492538,Bergen auf Rügen,Q374745,Morrison
239,23014,Q2880,Hamm,Q374745,Morrison
240,23015,Q1729,Erfurt,Q60,New York City
241,23016,Q2749,Augsburg,Q60,New York City
242,23017,Q939529,Hinsdale,Q84,London
243,23018,Q963309,Marshfield,Q1022,Stuttgart
244,23019,Q1729,Erfurt,Q374745,Morrison
245,23020,Q2683,Parma,Q60,New York City
246,23021,Q1005862,Jerzmanowa,Q374745,Morrison
247,23022,Q1247384,Dumfriesshire,Q60,New York City
248,23023,Q23436,Edinburgh,Q60,New York City
249,23024,Q1144835,New Castle,Q1741,Vienna
250,23025,Q2145988,Resterhafe,Q60,New York City
251,23026,Q1492,Barcelona,Q60,New York City
252,23027,Q487977,Iowa City,Q863832,Bingley
253,23028,Q320233,Sainte-Foy-la-Grande,Q374745,Morrison
254,23029,Q462177,White Plains,Q1022,Stuttgart
255,23030,Q6602,Strasbourg,Q60,New York City
256,23031,Q1807458,Knutstorp Castle,Q374745,Morrison
257,23032,Q339182,Saint-Julien,Q374745,Morrison
258,23033,Q42168,Clermont-Ferrand,Q374745,Morrison
259,23034,Q2256,Birmingham,Q374745,Morrison
260,23035,Q212856,Wadowice,Q374745,Morrison
261,23036,Q135572,Yegoryevsk,Q60,New York City
262,23037,Q13375,Pisa,Q374745,Morrison
263,23038,Q23436,Edinburgh,Q60,New York City
264,23039,Q42088,Nonsan,Q60,New York City
265,23040,Q203040,El Puerto de Santa María,Q60,New York City
266,23041,Q656,Saint Petersburg,Q374745,Morrison
267,23042,Q3915,Antananarivo,Q60,New York City
268,23043,Q504875,Bourgueil,Q374745,Morrison
269,23044,Q81621,Fort-de-France,Q3834,Constance
270,23045,Q42807,Nîmes,Q60,New York City
271,23046,Q90,Paris,Q60,New York City
272,23047,Q2061870,Sivakasi,Q60,New York City
273,23048,Q206988,Cheltenham,Q374745,Morrison
274,23049,Q270,Warsaw,Q60,New York City
275,23050,Q38511,Turku,Q60,New York City
276,23051,Q36433,Porto,Q374745,Morrison
277,23052,Q36036,Lviv,Q374745,Morrison
278,23053,Q6366688,Kapiolani Medical Center for Women and Children,Q1022,Stuttgart
279,23054,Q853324,Castledawson,Q374745,Morrison
280,23055,Q19272,Cava de' Tirreni,Q60,New York City
281,23056,Q7880,Toulouse,Q374745,Morrison
282,23057,Q209126,Wexford,Q374745,Morrison
283,23058,Q997335,Nemyriv,Q60,New York City
284,23059,Q25331,Odense,Q374745,Morrison
285,23060,Q10549787,Kuddnäs,Q374745,Morrison
